"","Cell type","Expression level"
"1","PVD",199.162
"2","LUA",166.887
"3","PVR",149.571
"4","ASER",126.719
"5","AVH",104.336
"6","ADL",97.765
"7","AIY",85.936
"8","ADA",70.421
"9","PVT",46.608
"10","PVQ",36.4
"11","AVE",33.53
"12","ADF",22.163
"13","RIB",20.761
"14","DB01",18.055
"15","RIM",12.898
"16","AFD",10.762
"17","ASK",10.642
"18","ASG",10.602
"19","VB01",10.171
"20","VA12",9.793
"21","SAA",9.078
"22","PQR",9.005
"23","URB",7.925
"24","RID",7.848
"25","AVB",7.159
"26","RMF",6.507
"27","VB02",6.074
"28","VC_4_5",4.949
"29","PVP",4.601
"30","RIH",4.346
"31","RIP",4.242
"32","PVW",3.926
"33","IL2_DV",3.719
"34","RMG",2.317
"35","ALA",1.409
