GPCR ID,GPCR name,Peptide,log EC50 (M),95% Confidence Interval,EC50 (M),,,,
C35A11.1-1,DMSR-7-1,FLP-13-4,-5.835,-6.044 to -5.625,1.463E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-13-5,-6.938,-7.311 to -6.565,1.154E-07,,,,
C35A11.1-1,DMSR-7-1,FLP-13-6,-5.796,-6.118 to -5.473,1.601E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-13-7,-6.254,-6.46 to -6.048,5.570E-07,,,,
C35A11.1-1,DMSR-7-1,FLP-14-2,-5.787,-5.995 to -5.579,1.634E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-15-3,-5.154,-5.604 to -4.704,7.021E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-16-2,-6.703,-6.809 to -6.596,1.983E-07,,,,
C35A11.1-1,DMSR-7-1,FLP-17-4,-5.213,-5.365 to -5.060,6.128E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-18-7,-6.115,-6.187 to -6.043,7.671E-07,,,,
C35A11.1-1,DMSR-7-1,FLP-19-1,-5.968,-6.060 to -5.875,1.078E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-19-2,-6.198,-6.538 to -5.858,6.333E-07,,,,
C35A11.1-1,DMSR-7-1,FLP-20-1,-5.882,-5.950 to -5.815,1.311E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-21-1,-5.608,-5.769 to -5.447,2.466E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-22-1,-5.986,-6.026 to -5.947,1.032E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-23-1,-6.953,-7.203 to -6.702,1.115E-07,,,,
C35A11.1-1,DMSR-7-1,FLP-23-2,-8.201,-8.396 to -8.005,6.301E-09,,,,
C35A11.1-1,DMSR-7-1,FLP-23-3,-5.730,-6.613 to -4.847,1.862E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-24-1,-5.700,-5.931 to -5.468,1.996E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-25-1,-5.875,-5.979 to -5.771,1.334E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-26-2,-5.756,-5.896 to -5.615,1.756E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-27-4,-6.400,-6.490 to -6.311,3.978E-07,,,,
C35A11.1-1,DMSR-7-1,FLP-28-1,-5.907,-6.006 to -5.807,1.240E-06,,,,
